sensor1,sensor2,sensor3,operating_condition1,operating_condition2,failure_mode,anomaly,failure
54.96714153011233,80.99033154879004,46.89786070030742,61.84384884245218,156.82531975175328,vibration,1,0.0
48.61735698828815,73.86950524369153,53.26577595141379,82.79229978440996,198.4398255530458,vibration,1,0.0
56.47688538100692,60.89445554880261,45.49096094800046,91.72788933156711,200.90084360222232,none,0,0.0
65.23029856408026,50.295948334416394,51.30446164433152,137.7537531468038,223.6315172921703,wear_and_tear,1,0.0
47.658466252766644,70.47334970420386,32.27662399655458,111.13106249067516,131.65708183595868,wear_and_tear,1,0.0
47.6586304305082,65.90228078132624,57.55952448847526,73.29036861800218,229.62836369236652,none,0,0.0
65.79212815507391,73.42789830041599,55.01446570434669,109.72072578835274,64.78041841986123,none,0,0.0
57.67434729152909,69.52757702522955,45.194936427181716,69.05392022123269,168.5057723818095,none,0,0.0
45.30525614065048,75.74329072979003,62.91094802118886,121.65382107774147,175.58630787742277,none,0,0.0
55.42560043585965,51.97147182659148,66.2508416515187,90.57750696364243,231.66634130356192,overheating,1,0.0
45.365823071875376,79.76091098451488,35.70928162757231,98.12727622521658,201.13154263384345,wear_and_tear,1,0.0
45.34270246429743,62.96399407038599,45.84730265720543,126.5159329508438,129.72184730718567,none,0,0.0
52.41962271566034,91.12891308937898,45.77029180255242,74.256728628315,150.75034370914923,none,0,1.0
30.86719755342202,49.66218272865648,43.721162786693625,72.05763629774017,209.93400047737035,none,0,0.0
32.75082167486967,86.03945704747875,64.95369810318098,88.3280134730799,196.04663290677217,overheating,1,0.0
44.37712470759027,62.96866175193972,52.674086334726354,120.76757702038634,171.04379451821268,none,0,0.0
39.87168879665576,50.22872994578327,51.82582190427267,69.61307849046315,175.95831052440104,overheating,1,0.0
53.142473325952736,52.741712489185176,30.95365162711896,43.35688803778862,234.80839985796445,none,0,0.0
40.91975924478789,55.1947903770852,62.62501636251072,90.97682283182003,174.11537135653927,none,0,0.0
35.87696298664709,66.36248919602875,40.12889926175833,111.0348159982184,195.59543779854633,none,0,0.0
64.65648768921554,67.8425323205325,55.71919156319594,124.00523499477659,308.49682940402715,none,0,0.0
47.74223699513465,51.394499940921314,58.3285232554983,90.73677275829202,128.81586815580386,none,0,0.0
50.67528204687924,59.634681116085254,71.3279031500638,91.77146785767995,107.40786342126707,none,0,0.0
35.75251813786544,92.13405537917795,39.29415521057065,123.07801468511494,239.17948323993033,none,0,1.0
44.556172754748175,85.91314755151066,18.765854130150096,62.605166006091586,166.06784693529482,overheating,1,0.0
51.10922589709866,66.54485504511048,57.20619453704434,92.22958449633981,184.088123612869,none,0,0.0
38.490064225776976,60.570052172523006,76.60613417813025,103.80847779850116,160.94218109344428,wear_and_tear,1,0.0
53.75698018345672,61.80046990077392,69.86735623527325,108.98437442570068,187.00999296162436,none,0,0.0
43.99361310081195,69.20276959095625,57.51591298329551,89.80386613618235,279.9269056048171,none,0,0.0
47.083062502067236,44.658111522023916,49.10036577241543,100.68882023411683,240.10642293090598,none,0,0.0
43.98293387770603,56.139351938649824,64.68547115964772,50.23345293174021,243.11117559434885,none,0,0.0
68.52278184508938,34.97123889183616,43.317445603546375,86.83503175332304,129.18864721036772,vibration,1,0.0
49.86502775262066,65.98834683907918,60.71629323227463,109.07017425108936,142.44231317235653,none,0,0.0
39.422890710440996,69.70793909554112,61.06564190999952,80.35411931490641,58.04606702572866,none,0,0.0
58.225449121031886,52.75220306550939,67.72251888998656,101.17968443179194,159.5309589458623,none,0,0.0
37.791563500289776,83.6098014493505,88.11592046693293,108.93745001605396,247.83515931928292,none,0,1.0
52.08863595004755,41.61351505496488,59.708991606145204,93.1490159828447,225.84732578741855,none,0,0.0
30.403298761202244,38.0343767968527,48.89243649151001,103.40927541993142,188.9243368523938,none,0,0.0
36.71813951101569,63.36677727839958,54.69310825369607,80.74534869430775,198.88498581409735,wear_and_tear,1,0.0
51.96861235869123,75.70647453918232,33.77108914133058,95.86777440607906,165.5557228712297,overheating,1,0.0
57.38466579995411,85.25891537186803,46.6634424269313,112.20432339178446,210.2379441200892,none,0,0.0
51.7136828118997,53.1167360569659,50.08861074264275,103.13945921936869,238.29391397403074,none,0,0.0
48.843517176117594,76.18021250146944,48.71093922478489,88.2693746087213,119.20566062947636,none,0,0.0
46.98896304410711,59.422372957489394,56.82825846440466,104.48432808581586,214.9823843918674,none,0,0.0
35.214780096325725,57.41059050088771,45.130960811413594,114.29219581273236,246.62174354773336,none,0,0.0
